ID,SITE,LONG,LAT,Group
CRA_1756,CRA,50.5212,-126.56462,South
CRA_1757,CRA,50.5212,-126.56462,South
CRA_1758,CRA,50.5212,-126.56462,South
CRA_1759,CRA,50.5212,-126.56462,South
CRA_1760,CRA,50.5212,-126.56462,South
CRA_1761,CRA,50.5212,-126.56462,South
CRA_1762,CRA,50.5212,-126.56462,South
CRA_1763,CRA,50.5212,-126.56462,South
CRA_1764,CRA,50.5212,-126.56462,South
CRA_1765,CRA,50.5212,-126.56462,South
CRA_1766,CRA,50.5212,-126.56462,South
CRA_1768,CRA,50.5212,-126.56462,South
CRA_1769,CRA,50.5212,-126.56462,South
CRA_1770,CRA,50.5212,-126.56462,South
CRA_1771,CRA,50.5212,-126.56462,South
CRA_1772,CRA,50.5212,-126.56462,South
CRA_1773,CRA,50.5212,-126.56462,South
CRA_1774,CRA,50.5212,-126.56462,South
CRA_1775,CRA,50.5212,-126.56462,South
CRA_1776,CRA,50.5212,-126.56462,South
CRA_1778,CRA,50.5212,-126.56462,South
CRA_1780,CRA,50.5212,-126.56462,South
CRA_1781,CRA,50.5212,-126.56462,South
CRA_1782,CRA,50.5212,-126.56462,South
CRA_1783,CRA,50.5212,-126.56462,South
CRA_1784,CRA,50.5212,-126.56462,South
CRA_1785,CRA,50.5212,-126.56462,South
CRA_1786,CRA,50.5212,-126.56462,South
HOP_2551,HOP,50.89923333,-127.85115,South
HOP_2552,HOP,50.89923333,-127.85115,South
HOP_2554,HOP,50.89923333,-127.85115,South
HOP_2556,HOP,50.89923333,-127.85115,South
HOP_2557,HOP,50.89923333,-127.85115,South
HOP_2558,HOP,50.89923333,-127.85115,South
HOP_2560,HOP,50.89923333,-127.85115,South
HOP_2561,HOP,50.89923333,-127.85115,South
HOP_2562,HOP,50.89923333,-127.85115,South
HOP_2566,HOP,50.89923333,-127.85115,South
HOP_2567,HOP,50.89923333,-127.85115,South
HOP_2568,HOP,50.89923333,-127.85115,South
HOP_2569,HOP,50.89923333,-127.85115,South
HOP_2570,HOP,50.89923333,-127.85115,South
HOP_2571,HOP,50.89923333,-127.85115,South
HOP_2572,HOP,50.89923333,-127.85115,South
HOP_2573,HOP,50.89923333,-127.85115,South
HOP_2574,HOP,50.89923333,-127.85115,South
HOP_2575,HOP,50.89923333,-127.85115,South
HOP_2576,HOP,50.89923333,-127.85115,South
HOP_2578,HOP,50.89923333,-127.85115,South
HOP_2579,HOP,50.89923333,-127.85115,South
HOP_2580,HOP,50.89923333,-127.85115,South
HOP_2581,HOP,50.89923333,-127.85115,South
HOP_2582,HOP,50.89923333,-127.85115,South
HOP_2583,HOP,50.89923333,-127.85115,South
HOP_2584,HOP,50.89923333,-127.85115,South
HOP_2585,HOP,50.89923333,-127.85115,South
HOP_2586,HOP,50.89923333,-127.85115,South
HOP_2587,HOP,50.89923333,-127.85115,South
HOP_2588,HOP,50.89923333,-127.85115,South
HOP_2589,HOP,50.89923333,-127.85115,South
HOP_2590,HOP,50.89923333,-127.85115,South
HOP_2591,HOP,50.89923333,-127.85115,South
JER_2592,JER,49.75303333,-124.0011,South
JER_2594,JER,49.75303333,-124.0011,South
JER_2595,JER,49.75303333,-124.0011,South
JER_2596,JER,49.75303333,-124.0011,South
JER_2597,JER,49.75303333,-124.0011,South
JER_2598,JER,49.75303333,-124.0011,South
JER_2600,JER,49.75303333,-124.0011,South
JER_2601,JER,49.75303333,-124.0011,South
JER_2602,JER,49.75303333,-124.0011,South
JER_2603,JER,49.75303333,-124.0011,South
JER_2604,JER,49.75303333,-124.0011,South
JER_2606,JER,49.75303333,-124.0011,South
JER_2608,JER,49.75303333,-124.0011,South
JER_2609,JER,49.75303333,-124.0011,South
JER_2610,JER,49.75303333,-124.0011,South
JER_2612,JER,49.75303333,-124.0011,South
JER_2614,JER,49.75303333,-124.0011,South
JER_2615,JER,49.75303333,-124.0011,South
JER_2616,JER,49.75303333,-124.0011,South
JER_2617,JER,49.75303333,-124.0011,South
JER_2618,JER,49.75303333,-124.0011,South
JER_2619,JER,49.75303333,-124.0011,South
JER_2620,JER,49.75303333,-124.0011,South
JER_2621,JER,49.75303333,-124.0011,South
JER_2622,JER,49.75303333,-124.0011,South
JER_2624,JER,49.75303333,-124.0011,South
JER_2625,JER,49.75303333,-124.0011,South
JER_2626,JER,49.75303333,-124.0011,South
JER_2627,JER,49.75303333,-124.0011,South
JER_2628,JER,49.75303333,-124.0011,South
JER_2629,JER,49.75303333,-124.0011,South
JER_2631,JER,49.75303333,-124.0011,South
LAS_2510,LAS,49.47478333,-124.1826167,South
LAS_2511,LAS,49.47478333,-124.1826167,South
LAS_2512,LAS,49.47478333,-124.1826167,South
LAS_2513,LAS,49.47478333,-124.1826167,South
LAS_2515,LAS,49.47478333,-124.1826167,South
LAS_2517,LAS,49.47478333,-124.1826167,South
LAS_2518,LAS,49.47478333,-124.1826167,South
LAS_2519,LAS,49.47478333,-124.1826167,South
LAS_2520,LAS,49.47478333,-124.1826167,South
LAS_2521,LAS,49.47478333,-124.1826167,South
LAS_2522,LAS,49.47478333,-124.1826167,South
LAS_2523,LAS,49.47478333,-124.1826167,South
LAS_2524,LAS,49.47478333,-124.1826167,South
LAS_2528,LAS,49.47478333,-124.1826167,South
LAS_2531,LAS,49.47478333,-124.1826167,South
LAS_2534,LAS,49.47478333,-124.1826167,South
LAS_2536,LAS,49.47478333,-124.1826167,South
LAS_2537,LAS,49.47478333,-124.1826167,South
LAS_2538,LAS,49.47478333,-124.1826167,South
LAS_2540,LAS,49.47478333,-124.1826167,South
LAS_2541,LAS,49.47478333,-124.1826167,South
LAS_2542,LAS,49.47478333,-124.1826167,South
LAS_2544,LAS,49.47478333,-124.1826167,South
LAS_2547,LAS,49.47478333,-124.1826167,South
LAS_2548,LAS,49.47478333,-124.1826167,South
LAS_2549,LAS,49.47478333,-124.1826167,South
LAS_2550,LAS,49.47478333,-124.1826167,South
LAS_2996,LAS,49.47478333,-124.1826167,South
MAL_2634,MAL,50.62736667,-127.1282167,South
MAL_2635,MAL,50.62736667,-127.1282167,South
MAL_2636,MAL,50.62736667,-127.1282167,South
MAL_2638,MAL,50.62736667,-127.1282167,South
MAL_2639,MAL,50.62736667,-127.1282167,South
MAL_2640,MAL,50.62736667,-127.1282167,South
MAL_2641,MAL,50.62736667,-127.1282167,South
MAL_2642,MAL,50.62736667,-127.1282167,South
MAL_2644,MAL,50.62736667,-127.1282167,South
MAL_2645,MAL,50.62736667,-127.1282167,South
MAL_2646,MAL,50.62736667,-127.1282167,South
MAL_2648,MAL,50.62736667,-127.1282167,South
MAL_2649,MAL,50.62736667,-127.1282167,South
MAL_2650,MAL,50.62736667,-127.1282167,South
MAL_2653,MAL,50.62736667,-127.1282167,South
MAL_2654,MAL,50.62736667,-127.1282167,South
